cleaned_text,predicted_sentiment
abdur fitnah 3 43 40 abdur salah paham dendam kebenian salah fitnah 3 29 00 gibran ngomong menjebak ngomong sulit,negative
mbak nana tolong nobar komika ikatan partai pemilih terwakilkan bahagia undang komika masuk partai sepeti semoga lihat comentnya,negative
salfok logatnya prof mahfud habib husein bin ja far wkwkwk,negative
sekelas profesor kayak carok gegara emosi jiwa ngeritik pemerintah gibran tujuannya jatuhin mental ngakak 1 penerintahan prof prof jokowi rapat kabinet ngeritik tim mu nyadar 2 bedain pribadi profesional prof rumah gibran anak jokowi tanyain sayur favorit bapaknya komplit pemerintahan gibran siapa2nya jokowi gibran jubir kabinet indonesia maju rwkevan jubir rezim jokowi,positive
pilih gembel utang budi kiri kanan nyapres petugas partai budak sponsor,positive
mending kumpul ama komika ama pejabat,negative
3 04 27 cari,negative
keren acara nana nyanyi indonesia raya 3 stanza 1 stanza,positive
yusril adeeeeem,negative
jaka sembung nabung nyambung,negative
nomor 1 pki banget gayanya,negative
urusan dress code ultah ri istana kecaman citra ri prestise dunia maumu acara ultah ri busana gurun kayak geruduk jakarta,neutral
ngecek fakta data materi debat berusaha keliru karna sadar kamera sadar suasana ruang publik skala nasional inter coba cek fakta data debat sasaran efektif btw coki keliatan kesulitan nyusun pembenaran alasan tpi sah2 cuman lucu dimention coki politik hati emosi 02 over contohnya konten2 nangis tiktok blm dilacak bgmana prabowo eq cerdas emosi blm substansial 02 kesempatan condong substansial cnthnya pas bagmana mengentaskan kemiskinan abdur sm fico kali sgat peka sensitif thd podium smuanya terbaca bsa diterjemahkan scr objektif keren,negative
kubu 1 sungguh jijik mencacimaki sok ngomong etika jijijkkkkkkk kubu dukungan kadrun,negative
media nanya2 konflik kontestan menyejukkan mengompori,negative
kubu 1 cocok manajer perpustakaan nasional pemimpin nasional salut gibran narasi2 menyinggung tengah2 ngegas sekedar merespon orangtua etika kadrun gemes banget negara cabang afghanistan,negative
enak nelen ludah cok,negative
mahfud berbicara seakan kabinet penerapan kebijakan kinerja maksimal salah satunya,positive
songong banget s anu mantap prof,positive
mbak nana berani kritis,negative
terdiam s coki kali,negative
konten cakep lihat langsung fact check nontonin iklan,negative
debat capres undang plisss,negative
assalaamu alaikum ribet pemilu milih pencoblosan pemilu transparan tipuan tinggal hitung memilih a milih b tps beres terang terangan nggak bermuka 2 bilangnya milih anies eh milih prabowo dobel milih ntar prabowo dipemilihan dikasih kertas doble nggak akal picik mbending terbuka terang terangan ngeprint kertas eh kertasnya pendukung prabowo diakalin langsung lihat realita jaman pencoblosan kertas dimanipulasi kebanyakan media menguasai oligarki inget negara hukum hukum terang terangan dihukumi hak pilihnya terang terangan bermuka 2 3,negative
gibran ky aneh,negative
semoga 01 menang amin,positive
sik ta backsound koq dengerx kayak pilgrim to the west,positive
dikerjain menjabat tinggal bpk kerjain skrg start,negative
buset blunder parah gunung panen,negative
oala kah coki panggil paman semenjak paman berupaya bijak setajam syukur deh skrng logika bertuhan logis mengurangi atheis,positive
value for money,negative
fiko kosongg wkwkwk,negative
pas fiko bantu bantu cringe tanggapi wkwkwkkwkw fiko cringeee ahahahahhaha,positive
asli gibran cringe banget debat ketua osis,negative
4 09 00 bedanya pernyataan tanggapan kacamata nanggapin gimmick kuliah belanda menanggapi debat wkwk,neutral
hadeuhhh kebanyakan ngurusin etika tema etikaaa diluar negeri bantah bantahan statement etika kenyataannya maju negaranya,negative
pengen banget nanya ama mbak nazwa gimana tanggapan mbak nazwa golput,negative
gibran hebat pinrt canggih lincah pinter bahasa inggris pk mahfud md jungkir planga plongo ktar ketir gx malu sahj sendrinya gibran mnang trtinggi slku unggul jooosss gas fol gibran anak muda gendrasi muda jaman now hebat waaaw keren wajib acungin jempol sbanyk prabowo gibran mnang 1 putran kita2 ayo rame2 mnangkn prabowo gibran tgl 14 peb rabu coblos 02 salm jari,positive
paslon 2 nggak menjatuhkan negara langsung visi misi paslon 1 3 kayak ngebongkar kejelek an negara nggak sadar ditonton negara ln suka langsung solusi penjelasan bertele,negative
all in 3 sentimen sentimen,negative
gini maksud mmng ad kegagalan dlm pemerintahan sblmnya dijadikan pertnyaan mencari pendukung untk menilah pemerintah krna berbicara pelaku pemerintah sngt ironis mksudny dijdikan motivasi visi misi untk memperbaiki allah pusing bngt nyinggung orng gtu tpi ngijak orng ng ad sempurna didunia blm tntu menepati janjiny skrng sdngkan jokowi smpe sngt masya allah dlm memajukan indonesia ad gagal gagal hrusnya diperbaiki dihujat dijdikan bahan perpecahan kesannya menakuti masyarakat,positive
atraksi hmmetika ilmu loooh,negative
timestamp 0 10 start 3 45 jcc sesi wawancara 28 22 narasumber abdur coki fico 46 25 video call 03 49 39 video call 01 57 28 video call 02 jcc 1 01 14 opening 1 04 34 pasangan 01 masuk 1 05 35 pasangan 02 masuk 1 06 45 pasangan 03 masuk 1 08 14 menyanyikan indonesia raya 1 10 10 menyanyikan jingle pemilu 1 14 20 sambutan doa 1 18 38 panelis 1 22 52 moderator 1 25 12 cawapres visi misi program kerja segmen 1 1 27 03 imin 1 31 37 gibran 1 36 10 mahfud segmen 2 1 1 51 13 gibran 1 53 41 mahfud 1 54 59 imin 1 56 25 gibran 2 1 59 14 mahfud 2 01 32 imin 2 02 45 gibran 2 04 01 mahfud 3 2 06 59 imin 2 09 17 gibran 2 10 42 mahfud 2 12 09 imin segmen 3 1 2 23 33 mahfud 2 25 54 imin 2 27 11 gibran 2 28 33 mahfud 2 2 31 32 imin 2 33 50 gibran 2 35 11 mahfud 2 36 29 imin 3 2 39 40 gibran 2 42 00 mahfud 2 43 16 imin 2 44 39 gibran segmen 4 1 01 02 2 55 10 imin 2 56 14 gibran 2 58 34 imin 2 59 51 gibran 02 03 3 01 20 gibran 3 02 13 mahfud 3 04 28 gibran 3 05 58 mahfud 03 01 3 07 22 mahfud 3 08 39 imin 3 10 54 mahfud 3 12 10 imin segmen 5 2 02 01 3 21 15 gibran 3 22 24 imin 3 24 40 gibran 3 26 07 imin 03 02 3 27 41 mahfud 3 28 56 gibran 3 31 18 mahfud 3 32 35 gibran 01 03 3 34 06 imin 3 35 15 mahfud 3 37 32 imin 3 38 46 mahfud segmen 6 pernyataan penutup 3 47 49 mahfud 3 50 10 imin 3 52 29 gibran 3 58 26 mba nana kawan kawan debat 4 selesai 1 semoga timestamp membantu,positive
psi emg plintar plintir,negative
pilih presiden pilih capres lapok bocil pembohong,negative
dengar green in fashion,positive
cie pilpres capres didebat gini regu a regu c bersatu knpa mojokin grup b engga yk sungguh,negative
kroyokan,negative
debat adu pinter ejek kasihlah gambaran berbuat terpilih,negative
etika memotong pembicaraan masuk etika,negative
stamara tebal y wajahnyakarena nelen ludah,negative
,negative
lho aqua,negative
berak tsamara tipe kayak pejabat pegang omongan,negative
berbicara memotong pembicaraannya beretika,negative
tsamara munafikkkkk,negative
mohon maaf gres and tamara dengar bicara sya suka andabahkan partai psi isi kebenaran,negative
rizky,negative
imbas dr debat sblum menyudutkn 02,neutral
debat capres debat cawapres sj prabowo gibran serang mafud amin kompak jatuhnya prabowo gibran,negative
allah swt menunjukan kualitas kemampuan kekurangan kelebihan paslon layak pilihanmu pribadi asalbukanprabowo,positive
tsmara mak jleb,negative
konsistensi psi butuh masuk paelemen ngga konsistensi memalukan,negative
suka psi suka org2 dalamnya karna konsisten bicara plin plan dukung rekam jejaknya ngk becus gibran etika sopan santun mendidik karakter anak mudanegeri rusak,negative
berulang2 nonton sebenernya acara selasi cantik selasai ngomong,negative
tkn 03 etika porsi orng ngomong motong mulu,negative
aduh calon pemimpin bersilat lidah meluruskan salah menjilat jilat gibran bermoral beretika calon gibran meniru niru parah lihat mimiknya pertontonkan memalukan calon wakil presiden tsamara grace coba meluruskan luruskan kecuali menjilat jilat menikmati pusaran kekuasaan,negative
bicara etika tamu pesta demokrasi pendukung parpol 1 3 bicara etika ngmong blm selesai langsung potong potong etis ngebahas menilai etika bener bicara ber etika,negative
1 3 kerjasama wkwkwkwkkw,negative
grace pantek,negative
hongkong bigluv 02,negative
psi slalu bohong alihkan samara salah,negative
mbak natali samara kk ngomong seolah2 gmn rakyat malu menonton egk malu pendukung pragib,negative
2 perempuan cakap isinya kosong ilmu otaknya,negative
tsamara berbicara bernyanyi memanglidah bertulang,neutral
bertele2 banget mbak natalie membela membela mengesampingkan logika,negative
0103,negative
meremeh anak muda bermodal makan asam garam makan ikan susu,positive
tua,negative
seandainya psi partai bawa isu agama tolak poligami beranggap partainya ok poligami udh al qur an wanita menikah baiknya menulis perjanjian pranikah dipoligami hukumnya mubah tuhan lawan gimana ngadepin rakyat,negative
tua mahfud bicara bodoh bodoh mahfud,negative
psi partai odong odong laku anak anak kritis bicara spt tukang obat pinggir jalan laku memanfaatkan wakil rakyat dpr ri,negative
penjilad menjilad ludahnya aneh dinasti,negative
pembohong ppublik lakukan merekbiasa dibohongin pemerintah tertanam berbohongitu sok pintar pandai bicara subtansinya ok i bu ketua,negative
tua mengarah anak muda kehal menjatuh anak muda melaku tua gelabakan anak muda lawan,negative
bapaknya cerewet ibuibu duh,negative
imin konsisten bos omonganya berubah rubah kaya anis,negative
salam,negative
gres natali dihadapan sopan manut2 korupsi menusuk majikan gerindra korupsi,negative
pandainya bicara menunjukan kubunya lemah,negative
yaaa terpojokkan solusi cari kesalahan pribadi lawannya,negative
psi kocak,negative
suka elit politik tikam serang hantam memimpin merubah nasib pemulung ojol mentri,negative
rakyat mahupilih gama rakyat indonesia maju aman damai mantap gama,positive
bllimbing sayur songong,negative
1 3 lawan 2 2 1 3 1 kubu 2 kubu 2 kubu lawan 1 kubu,neutral
ustad rocky sopan santun bahasa tubuh,negative
to ba,negative
cowok kalah debat donkkk,negative
tenggelamkan 02 karna merusak demokrasi negara,negative
grace tsamara bedanya warga tiktok sama2 menutup mata,negative
psi capekkk nyebokinnnnnnn wkwkwkw,negative
debat 4 laki kelompok takut kalah menyerang memotong 2 cewek fakta berusaha mengangu memotong fokus terbelah fakta,negative
mba 02 blunderrr,negative
pendukung kosong 2 bacot doang jink logis blunder samsul,negative
2,negative
masinton ganjar anis gmn beretika g bermartabat g,neutral
sopan santun etika hati nurani disemua lini standar ganda hahaha,negative
nis munafik pendendam licik,negative
natali penjilat susah ajak debat calonnya,negative
bpk bpk lbih cerewet dri apalgi jubir aamiin tuuhhh jijik liatx,negative
semoga betina betina sirna amin menang,positive
g aturan kyakx jubir 01 03 sll menyela,negative
02 diserang mulu uda kekurangan kog cari keburukan,negative
grace malu ugal ugalan berusaha menyapu kesalahan gibran memotong giliran bicara masinton,negative
rugi klw anis terpilih presiden,negative
kebijakan negara uang banyolan,negative
psi partai munafik era reformasi plin plan argumentasi konsisten memutarbalikfakta standar ganda bela menhan ttg food estate gagal melemparkan menteri pertanian lead menhan hny eksekutor lgsg kegagalan lead utama presiden agenda sukses menteri penanggung jawabya presiden lihat rekam jejak grace menghina anies kejam cenderung memfitnah psi partai sgt berbahaya,negative
masinton gmn ruu perampasan harta koruptor kerja dpr gmn kl usulan bubarkan dpr,negative
rata2 tim 2 diserang,negative
jubir 01 lamiss nihhh,negative
laki laki 4 laki laki forum malu udh bodoh bersatu membelah masyarakat ngeroyok 2 perempuan pulak,negative
debat berbobot,negative
makasih tvone aq dipilih,negative
mulutx jubir 01 kyak bebek nrocos trs,negative
bodo prabowo gibran 02,negative
baperan paslon 1 3 wkwkwk,negative
1 3 kliatan gusar banget karna mrk faktanya 2 mantabz,negative
jarang gelar pendidikan mengakui ketidak tauanya gengsi,neutral
pendukung 01 bicara etika blm potong etika pendukung 01,negative
mahfud ngapain masinton dibilang penegakan hukum gagal mahfud mentri dibagikan masintooooon,negative
model gini mimpin spt anak muda,negative
kacamata kampreettt bicara etika nyolot kaya emak2 remponk masyarakat nilai sdri,negative
coblos 02 sak jose,negative
dr psi kalah kelas,negative
mba grace smart penjelasannya masukkk banget,positive
dpr dibayar mengawasi hasil kerja dpr gajinya bejibun,negative
2 lawan 4 kaya carok kemarem,negative
ckckckx hormat tua hormat payahhhhhh,negative
cawapres kompak mencari celah cawapres hidup 2,negative
tvone sponsori aqua aqua prooo israwil,negative
hahahahahaakasian panggar lihat panggar g lihat,positive
tanam singkong panen jagung,positive
ttp all in pasangan prabowo,negative
acaranya sesuai aturan penyelenggara menangani sangan sayangkan,negative
02 yesss,negative
paslon 1 3 busuk berfikir mencari kebenaran menyalakan bahaya negara karna cuman gila jabatan mengadu dombah masyarakat karna kebijakanya boneka partai,negative
ditonton menjatuhkan pilihan gibran anak zaman now,negative
jujur 2014 2019 dukung prabowo lihat pasangan prabowo gibran melemparkan pertanyaansingkat detail receh mahfud kompetisi tebak tebakan imin paslon nomor 1 3 profesional melemparkan detail klik menitnya menit 5 58 01 gibran mahfud menyelasaikan import pupuk food estate nyambung anehnya menit 6 00 45 gibran mahfud trisakti karno food estate nyambung menit 5 30 27 gibran inflasi hijau mahfud cek inflasi hijau ekonomi hijau menit 5 50 46 gibran melemparkan anti nikel imin etika lingkungan indonesia memiliki nikel terbesar dunia 90 nikel indonesia dikuasai china dampak produksi nikel berbahaya lingkungan searh nikel nikel merusak lingkungan sulawesi tenggara lihat komentar dimana pilih capres cawapres pintar,negative
tabrak aturan trus,negative
adeehhh bahas wee bahsa,negative
nama debat mandang tua muda nama bersaing adap hukum adap sok sok soaladap debat memperbaiki negara maju,negative
amin prof mahfud ganjar anis pribadi anis amin,negative
02 yess,negative
maju pantang mundur gibran lanjutkan kinerja jokowi tuhan yesus ku beserta mu amin,positive
sok2 bawa anak muda pemuda terima melanggar etika politik fair oyy bran2 dinasty politik,neutral
debat cawapres 4 sungguh 3 paslon 1 mahfud md berdebat fakta fakta data pemerintahan nyata pemerintahan salah kelebihan mahfud berani salah menyimpang 2 gus imin debat malam sasaran wibawa aura mudah dimengerti solusi masyarakat 3 gibran gibran solusi dizaman digitalisasi ucapkan debat dilaksanakan real program indonesia emas zaman digitalisasi solusi menghadapi indonesia depanya gibran paham zaman digitalisi bahasa2 baku indonesia masayarakat paham bahasa baku indonesia layak cawapres berkerja cawapres mahfud md gibran berkerja cawapres imin ragukan enjoy menikmati hidup jabatan mnurut analisa pemahaman,negative
seru,negative
gibran diskusi nyambung,negative
1,negative
yakinlah hatimu memilih pemimpin kelak,positive
amin 01 imin,positive
gibran melanggar aturandan menyesatkan 01 amin menang anti korupsi kolusi nepotisme kkn menyesatkan semoga anies dipanjangkan umurnya sehat,negative
anak meleniyal luwar biyasahiduf frabowo gibran no2 futeran,negative
1 komplit kalangan adil makmur 2 pembangunan adil masyarakat 3 visi misinya bagus memperbaiki kerusakan terjad negeri bersifat pasif fokus lihat kedepan komplit bersaing macan dunia wawasannya fokus kedepan arah adil makmur kalangan 1 iniyg terbaik negara mudah2nya kedepannya berlomba2 bersaing memajukan mensejahterakan rakyat indonesia macan dunia aminn,positive
mahmud layak cawapres 2 udh sepatut disana,positive
pertanyaannya recehan,negative
mafud md terbaik terpandai,positive
sebenar ketara sungguh mengubah nasib nkri apaboleh wakil berbuat semoga presiden mudah an mengubah nasib nkri,negative
ndak roi suryo debat cawapres ayo nyinyir,negative
banget paslon 01 paslon 03 berkerjasama menjatuhkan paslon 02 kerjasama bagus prabowo gibran is the best,negative
hilirisasi hilirisasi tayi kambing hilirisasi dinasti politik sabang merauke,positive
gasss prabowo gibran senggol jatuhkan kokoh maju all in prabowo,negative
perang toa speaker meroket memekakkan telinga polusi air tanah udara visual baliho meroket pura pura ndak koar koar ngarang perang mulut mengatasi polusi dunia akhirat,negative
imin top deh 01 anies,positive
iup dicabut ilegal izin iup,neutral
nomer 1 nomer 3 nyerang pemerintah jelek2 in pemerintah,negative
ngeri hasil survei live chat 1 23 2 67 3 10,negative
jaga etika sopan santun sgt menyedihkan anak songong,negative
,negative
paslon 3nggak sesuai konteks moderator bicara food estate paslon 01 kompak kritik kinerja pemerintah wajar gibran bersikap pernyataan gibranlah sesuai konteks debat pernyataanya penjelasan visi misinya bahas kerja,negative
gibran meremehkan lawanya2 pdhl muter2 jwbnya,negative
paslon 1 3 menyerang paslon 2 bpk gibran adlh simbol kedepan sdgkan bpk2 pejabat paslon 1 paslon 3 berpamor bersinar berkat kepemimpinan bpk jokowi wahai2 bpk pejabat kulo kawulo alit mmg minim ijazah punyai skill punyai skill diterima bkerja alasan dijaman bpk2 pejabat sblm bpk jokowi skill dibutuhkan dilapangan pengalaman kerja ttg bicara apalgi tatanan etika bpk gibran berpamor lulusan negeri bukti buktinya lapanfan membutuhkan skill teori semangat teruus maju paslon 2 semangat bpk prabowo bpk gibran,positive
cnn channel fear tamu undangannya paslon 1 3 dr paslon 2,negative
imin sindir 500 ribu tanah pribadi min tanah pribadi beli dr pd jatuh tangan asing itupun serahin negara garap rakyat,positive
negeri 62 perintah anak melanggar adab etika,negative
mimik wajah mahfud md kayak gimana kayak tahan emosi,negative
notulen,negative
01 sekolah ama sasaran bully cok,negative
debat menonjokan menjatohkan,negative
pilih sopan santun masyarakat kelaparan menderita pandang bulu masyarakat makmur sejahtera,negative
gibran dukung balas dendam kemarin prabowo dihina diam karna tua balas ganti gibran balas mereka2,neutral
tengil banget gibran mentang mentang anak lurah,negative
buta bercerita ttg dunianya rendah hati bs bercerita arogan menghina terhina merendah ditinggikan tertawa bersedih jaga hati mata hati hati hati,positive
songong gibran,negative
orng melanggar etika jdi pemimpin,negative
perubahan is needed,negative
percaya popling bayaran tuhh cari cuan masuk akal paslon 01 kalah 02,negative
pilihlah pemimpin etika arogan,negative
cawapres 3 selesikan mafia tanah tanah adat sulawesi utara jdi wapres mafia tanah diajak kerjasama,positive
kayaknya tukang komen2 kubu dr 1 3 dr td kyaknya suka ama gibran,negative
cnn adil tukang komen kyaknya dr kubu 1dan3 dr jelek2in gibran kayak e,negative
wajarlah gibran receh paham sejarah ilmunya memadai cawaprea,negative
ampun sadar wktu debat capres nyinggung personal,negative
byk teori janji bukti,negative
gibran songong,negative
samsul ubahnya badut cari perhatian diatas panggung merendahkan panggung debat capres cawapres,negative
data import mahfud data real narasi data real janji2 palsu rakyat melayang awan,neutral
kutip amin pembangunan berkelanjutan kekuasaan berkelanjutan malu pendukung keras jokowi haus kekuasaan menghalalkan gibran cawapres dosa jokowidodo,negative
songong plonga plongo,negative
debat cawapres unggul mahmud md mantap sukses,positive
anis muhaimin emg dasarnya suka julid wkwk suka nyinyir suka ngompor ngomporin wkk,negative
detik berubah fikiran memilih nomor 3 ulah gibran mempermainkan imin mahfud md calon pemimpin ulahnya,negative
bocah bocil dadi wapress milih kebangeten,negative
insya allah perubahan detik menyukai pilihan nomor 3 gibran debat 4 sungguh kecewa calon wakil presiden merendahkan derajat mahfud md berjasa negeri tingkah polah gibran kekanak kanakan mahfud memimpin negeri kedewasaannya menguasai hawa nafsunya pintar santun religius nasionalis bijak,negative
insya allah perubahan detik menyukai pilihan nomor 3 gibran debat 4 sungguh kecewa calon wakil presiden merendahkan derajat mahfud md berjasa negeri tingkah polah gibran kekanak kanakan mahfud memimpin negeri kedewasaannya menguasai hawa nafsunya pintar santun religius nasionalis bijak,negative
ketiga paslon presidensatu gitu ko repot,negative
tabrak prof,negative
,negative
sigibran semakun ngco pamahpuf pifato perabowo masarakat cuman sigibran pura pura egatau norton bareng pendukung perabowo malu febat sigibran ngaco malu pendukung,negative
awas peringatan buruknya gibran debat berpengaruh pemakzulan presiden kacau negeri biarkan jokowi habis jabatannya rusak asing masuk negeri kekacauan jaga,negative
awas peringatan buruknya gibran debat berpengaruh pemakzulan presiden kacau negeri biarkan jokowi habis jabatannya rusak asing masuk negeri kekacauan jaga,negative
debatnya substantif program sindir menyindir mending moderator ngasih masyarakat program sebenernya sindir,negative
tolong member atg mohon diangkat atg putusan hakim sesuai fakta persidangan langsung saksikan faktanya atg real ponzi uang member hasil keringat eahyu kenzo bertanggungjawab wd eh rekeningnya blokir malh jerat tppu mohon media tolong ungkapkan kebenaran mafia hukum semena mena menjadikan uang bancakan,neutral
tetep all in prabowo gibran,negative
hati hati ad calon produk amerika jngn bkln sumber daya alam kirim k us dn eropah carilah calon pribumi memikirkan bangsa rakyat maju calon bukn pribumi mmntingkn kekuasaan sj mmikirkn kbangkitan bangsa dn kmajuan bangsa ad salah calon boneka usa mknya setuju ikn bhkn tdak setuju hilirisasi us dn eropah mngusai dunia dn indonesia trus ngra tdak maju,negative
serem erick tohir dikubu prabowo pro player vs trial pro player sunguh pertandingan 14 february menang terbaik pilihan rakyat,positive
3 presiden 2024,negative
tua tua,negative
menghabiskan dana,negative
seruan nonton radit main,positive
haha anak tk bliin blon pndukung ganjar mahfud,negative
omong kosong loe mahfut,negative
haha ngajar ngajiapa x ama mahfud fah loe perbuat rakyat mahfu cari muka loe,negative
kadang kadang calon peminpin berdebat sadar mempermalukan sendiripadahal diya kewajiban tugas bongkar ketida berhasilan kepamimpinanya,negative
koeupsi mahpud wewenang tida atasi mahpud md tida berhasil menko bicara mempermalukan sadar,negative
sehasusnya mahpud md ketegasan mahpud lemah mengatasi korupsi,negative
senior panas yng junior,negative
perasaan 3 paslon pertanyaanhanya 1 solusi hhh debat artikan diskusi bertukar pikiran pendapat keputusan terabaik solusi menangani ehh perbesar,negative
knp palson 01 03 menyerang paslon02 ap karna kebodohan paslon 02 trs mata lwannya,negative
hate komen smua paslon akun ytube tv ngehapus komen pndukung,neutral
tlol,negative
sedih capres 2024 mentang2 era demokrasi menjatuhkan menjelek2kan membongkar kekurangan lawan menjabat pemerintah carmuk org2 lakukan sampai2 menjatuhkan pemimpin nkri statusnya menjabat sempurna kelebihan kekurangan pendapat sy pikiran netizen berpikir carilah capres menjalani hidupnya dr susah nol terpilih pemimpin nkri sadar mawas pemimpin mengalami hidup susah capres hidup dr fasilitas dr ortunya apapun permintaan sm ortunya mengalami susah menjalani kehidupan bahaya manjakan dr hidup survival laut hutan pastikan meninggal selamat dibayangkan dr 3 capres bertahan hidup,negative
jawa timur mendukung ganjar mafmud,neutral
01 byk teori rumus2 apalah program 01 trlalu byk omon2,negative
ttp prabowo,negative
bpk prabowo bicara rakyat pintar memilih bicara bpk prabowo sekedar bicara terjun lansung indonesia butuh pemimpin,negative
waraslah anis terbukti zoss,negative
prabowo dlu ngomong kekayaan jaga wkwk faktanya,negative
1 3,negative
bowo sempoyongan debat ke3 debat ke4 ko,neutral
slepet trus terngiang,negative
anis ngomongnya mulukmuluk,negative
omon omon doang gampang dek kerja nol,negative
prabowo meliwati covid,negative
menteri pecat nilai slah menteri terbaik era,negative
4 menit menjatuhkan paslon lawan membahas visi misi paslon kecewa,negative
kurupsi ganjar pdahal kurupsi sampingnya,negative
hutang kfx,negative
bismillahirrahmanirrahim anies pilihan hati anies insyaallah bantu pakai doa namanya beda pilihan persatu dukung paslon plis banget jatuhkan paslon suka takutnya fitnah namanya debat jangann terbawa suasana 2024 pemilu damai mejatuhkan,positive
bener bener prabowo babak belur,neutral
cocot anis baswedan clutakkkk faktane 0 mimpin jakarta ae koyo thaikkkk korupsi neh,neutral
2 29 00 prabowo membuktikan data sebenar transparan silahkan ganjar prabowo forum pembuktian data sebenar debat capres anis ucapan data terucap debat capres prabowo membantah data anis keliru salam masuk akal,neutral
kameranya hd yaa,negative
prabowo terbaikk,negative
cinta 2 bpk prabowo hebat keren,positive
tenang slalu hati tenang ganjar sma anis masukan rumah sakit grogol terganggu pakta benar2 boong anis ngajelekin and mempitnah udh orng 2 ith lgi km cari meresahkan jabatan bohongan kta jdi sipat2 aslinya khan orng berdua ith siapah nama lupa,negative
prabowolah matang segi apapun masyarakat indonesia cerdas memilih berpengalaman membawa indonesia maju,negative
keliatan bet personalnya asbun,negative
semoga ganjar menang,positive
berikanlah tujuan mudah yaa allah bpk prabowo,positive
yaa allah bodohi sm gus samsudin lek ngikuti ajaran pinter menambah bodoh,negative
btul prabowo jgan cuman pandai cakap tdak ad buktinya anies pandai cakap bukti tdak ad,neutral
assalamualaikum apapun prabowo,negative
pribadi antosias dng bpk prabowo jujur ap tulus iklassemoga bpk prabowo sehat sllu gibran 2 pemimpim sangt kmi nantikan dambakan,positive
ganjar lihat wilayah lokasi tinggal jalan lingkungan universitas veteran semarang universitas tujuh belas agustus semarang unika jalan terjal karuh karuhan engkau perbaiki dimana kepedulian masyarakat produktif fasilitas sarana menjalani studi,neutral
jujur kemarin ragu milih 2 3 tpi debat mantap pilih 2,positive
2 hati,negative
mantap anies,positive
cerita negara palestina keturunan nabi musa tinggal dlm perjalanan tanah dataran golan,negative
milih anis probowo petani bebas beli pupuk2,negative
ganjar petani menangis beli pupuk uang kontan persulit,neutral
dak petani orang2 kota pd kelaparan tolong pikir petani,negative
nangis mendingan bowo,negative
anis punta orogram anya menyindir menyalahkan sajasedang kasih,negative
maju prabowo,negative
pintar ngomong bohongnya,negative
senyuman anis adem biarpun blg omon2 sy tetep dukung 1,negative
presidennya badan ngga mati matian kerja keras banting tulang peraskeringat tatap melarat ribut recok mikir situ ngga ribut recok pejabat enak ngga,neutral
doa prabowo smoga sehat slalu umur amin,positive
menteri pecetan ra due isin,negative
prabowo prabowo,negative
prabowo presidenku coblos nomor 2,negative
gama,negative
ketulusan prabowo tulus masyarakat petani semoga prabowo menang 1 putaran amin amin,positive
ganjarmuka muka pasrahhh udh menang,negative
proyek estate habisin dana 4 3 triliund jutaan hutan gundul dibabat habis alhamdulillah hasilnya tulus,positive
kalah berdebat fitnah alat pecundang socrates,negative
nalar akal sht milih anis percaya yutube berkuasa calon duit bayar he rakyat indonesia sa atnya bankit merubah indonesia majuuu,negative
bpk prabowo orng perofesional bnget y bgtu calon persiden kalangan militer top dn mantul,positive
amin terbaik bangsa,positive
anis,negative
nisssss ngomong naon nissss ngomong banya bohongya kacang lupa kulitnya nis2,negative
anis sengkuni pandai berbicara pandai janji janji pas gubernur nihil hati omongan anis sengkuni new,negative
tekat dukung prabowo ku prabowo gibran menang insya allah prabowo pasri menang,negative
anis yess,negative
2 00 45 segmen 3 segmen salah prabowo data hahaha sependapat ganjar berharap didesak ehhh jam menit langsung kena semprot hahahahahha dalem hati wowo capek capek puji puji ehh nyemprot hahahaha lawak menhan data debat pertahanan negara ehh begaya kaga memikirkan,negative
dna bantahan prabowo logis salah,negative
hubungannya harta pribadi kesejahteraan prajurit relate menuduh prabowo korupsi hukum menuduh dilaporkan kesejahteraan meliputi kementrian pertahanan kementrian perekonomian andil budget,negative
gemoy pilianku president semoga amanah indonesia ekonomi rakyat makmur rakyat rela tkw negri menafkahi kluarga indonesia susah cari kerjaan,negative
stu sndri omon woooo,negative
pintar bicara smua butuh bukti anis,negative
02,negative
prabowo ganjar anis,neutral
05 25,negative
sujiwotejo budaya pertahanan paslon,negative
indonesia aman sabang meraoke mikirin pslestinaemang palistina mbantu indonesia,negative
jkrta ja luhh gagall gtottt ngomong pahh jijik,negative
al in maju bwat bpak prabowodn maz gibran,negative
prahh nihh prbowo serang truss ma ambisiii,negative
anisss ngaurrr prahhh,negative
kloo negraa dipimpin anisd kiamtt,negative
pling debess debt prabwoo krana buknn debtt tpii inii untukk menghncurkan prabowoo lucuuu nmor 1 3,negative
gabbisaa jrna pdui gnjrr yng mnytelll mudh,negative
akubttt jolimm mulutt mu niss jadiu saksiu gehgaalan muuu,negative
pintar memilih tulus pemimpin ambisi pemimpin menjatuhkan menjelekan memilih prabowo,negative
dawaiiii kalah debat nangis cuakks,negative
anis ngomongin etika mulu etika menyalahkan prabowo jelekin prabowo kocak nis,negative
omon omon bukti janji janji pelaksanaanya null null,negative
mencari pemimpin berdasarkan ngomong isi munafiknya aduh anis mohon maaf menjatuhkan lawan pintar lawan kerja prabowo 11 persen kerja suka memutar balikan fakta menjatuhkan lawan pemimpin rakyat sehat prabowo capres semangat berjuang,negative
